global_step,epoch,epochs,step,iters,loss,logits_loss,aux_loss,lr,epoch_eta_min
142,1,2,14200,39695,2.4059,2.4059,0.0,0.0004654,59.0
143,1,2,14300,39695,2.3931,2.3931,0.0,0.00046493,59.0
144,1,2,14400,39695,2.3683,2.3683,0.0,0.00046445,59.0
145,1,2,14500,39695,2.3664,2.3664,0.0,0.00046397,59.0
146,1,2,14600,39695,2.4038,2.4038,0.0,0.00046348,58.0
147,1,2,14700,39695,2.3755,2.3755,0.0,0.00046299,58.0
148,1,2,14800,39695,2.3192,2.3192,0.0,0.0004625,58.0
149,1,2,14900,39695,2.4356,2.4356,0.0,0.00046201,58.0
150,1,2,15000,39695,2.5362,2.5362,0.0,0.00046151,57.0
151,1,2,15100,39695,2.2217,2.2217,0.0,0.00046101,57.0
152,1,2,15200,39695,2.46,2.46,0.0,0.00046051,57.0
153,1,2,15300,39695,2.4468,2.4468,0.0,0.00046001,57.0
154,1,2,15400,39695,2.2046,2.2046,0.0,0.0004595,57.0
155,1,2,15500,39695,2.517,2.517,0.0,0.00045899,56.0
156,1,2,15600,39695,2.3911,2.3911,0.0,0.00045847,56.0
157,1,2,15700,39695,2.4233,2.4233,0.0,0.00045796,56.0
158,1,2,15800,39695,2.2095,2.2095,0.0,0.00045744,56.0
159,1,2,15900,39695,2.3412,2.3412,0.0,0.00045691,55.0
160,1,2,16000,39695,2.3287,2.3287,0.0,0.00045639,55.0
161,1,2,16100,39695,2.4855,2.4855,0.0,0.00045586,55.0
162,1,2,16200,39695,2.2553,2.2553,0.0,0.00045533,55.0
163,1,2,16300,39695,2.266,2.266,0.0,0.0004548,54.0
164,1,2,16400,39695,2.2874,2.2874,0.0,0.00045426,54.0
165,1,2,16500,39695,2.3991,2.3991,0.0,0.00045372,54.0
166,1,2,16600,39695,2.1324,2.1324,0.0,0.00045318,54.0
167,1,2,16700,39695,2.4047,2.4047,0.0,0.00045263,53.0
168,1,2,16800,39695,2.3253,2.3253,0.0,0.00045208,53.0
169,1,2,16900,39695,2.2299,2.2299,0.0,0.00045153,53.0
170,1,2,17000,39695,2.2968,2.2968,0.0,0.00045098,53.0
171,1,2,17100,39695,2.2856,2.2856,0.0,0.00045042,53.0
172,1,2,17200,39695,2.2005,2.2005,0.0,0.00044986,52.0
173,1,2,17300,39695,2.3129,2.3129,0.0,0.0004493,52.0
174,1,2,17400,39695,2.3246,2.3246,0.0,0.00044874,52.0
175,1,2,17500,39695,2.4392,2.4392,0.0,0.00044817,52.0
176,1,2,17600,39695,2.3184,2.3184,0.0,0.0004476,51.0
177,1,2,17700,39695,2.4515,2.4515,0.0,0.00044703,51.0
178,1,2,17800,39695,2.2425,2.2425,0.0,0.00044645,51.0
179,1,2,17900,39695,2.2428,2.2428,0.0,0.00044588,51.0
180,1,2,18000,39695,2.2268,2.2268,0.0,0.0004453,50.0
181,1,2,18100,39695,2.1718,2.1718,0.0,0.00044471,50.0
182,1,2,18200,39695,2.4149,2.4149,0.0,0.00044413,50.0
183,1,2,18300,39695,2.2304,2.2304,0.0,0.00044354,50.0
184,1,2,18400,39695,2.1977,2.1977,0.0,0.00044295,49.0
185,1,2,18500,39695,2.3373,2.3373,0.0,0.00044235,49.0
186,1,2,18600,39695,2.3128,2.3128,0.0,0.00044176,49.0
187,1,2,18700,39695,2.2646,2.2646,0.0,0.00044116,49.0
188,1,2,18800,39695,2.2085,2.2085,0.0,0.00044056,49.0
189,1,2,18900,39695,2.1531,2.1531,0.0,0.00043995,48.0
190,1,2,19000,39695,2.3466,2.3466,0.0,0.00043934,48.0
191,1,2,19100,39695,2.2385,2.2385,0.0,0.00043873,48.0
192,1,2,19200,39695,2.3597,2.3597,0.0,0.00043812,48.0
193,1,2,19300,39695,2.1801,2.1801,0.0,0.00043751,47.0
