Model Params: 63.91M
Trainable Params: 63.912M
Generating train split: 0 examples [00:00, ? examples/s]Generating train split: 70908 examples [00:00, 573980.48 examples/s]Generating train split: 200536 examples [00:00, 857634.91 examples/s]Generating train split: 355104 examples [00:00, 1074933.92 examples/s]Generating train split: 477003 examples [00:00, 1082982.70 examples/s]Generating train split: 623860 examples [00:00, 875837.59 examples/s] Generating train split: 739828 examples [00:00, 738782.38 examples/s]Generating train split: 846090 examples [00:01, 637582.16 examples/s]Generating train split: 936093 examples [00:01, 616567.32 examples/s]Generating train split: 1002786 examples [00:01, 621149.77 examples/s]Generating train split: 1069171 examples [00:01, 454568.32 examples/s]Generating train split: 1155234 examples [00:01, 398623.31 examples/s]Generating train split: 1232066 examples [00:02, 416567.76 examples/s]Generating train split: 1270238 examples [00:02, 582367.85 examples/s]
Epoch:[1/2](5700/39695), loss: 2.6661, logits_loss: 2.6661, aux_loss: 0.0000, lr: 0.00049430, epoch_time: 79.0min
Epoch:[1/2](5800/39695), loss: 2.6714, logits_loss: 2.6714, aux_loss: 0.0000, lr: 0.00049410, epoch_time: 79.0min
Epoch:[1/2](5900/39695), loss: 2.8066, logits_loss: 2.8066, aux_loss: 0.0000, lr: 0.00049390, epoch_time: 79.0min
Epoch:[1/2](6000/39695), loss: 2.7034, logits_loss: 2.7034, aux_loss: 0.0000, lr: 0.00049369, epoch_time: 78.0min
Epoch:[1/2](6100/39695), loss: 2.5972, logits_loss: 2.5972, aux_loss: 0.0000, lr: 0.00049348, epoch_time: 78.0min
Epoch:[1/2](6200/39695), loss: 2.7364, logits_loss: 2.7364, aux_loss: 0.0000, lr: 0.00049326, epoch_time: 78.0min
Epoch:[1/2](6300/39695), loss: 2.5725, logits_loss: 2.5725, aux_loss: 0.0000, lr: 0.00049304, epoch_time: 78.0min
Epoch:[1/2](6400/39695), loss: 2.5531, logits_loss: 2.5531, aux_loss: 0.0000, lr: 0.00049282, epoch_time: 78.0min
Epoch:[1/2](6500/39695), loss: 2.6017, logits_loss: 2.6017, aux_loss: 0.0000, lr: 0.00049260, epoch_time: 77.0min
Epoch:[1/2](6600/39695), loss: 2.6225, logits_loss: 2.6225, aux_loss: 0.0000, lr: 0.00049237, epoch_time: 77.0min
Epoch:[1/2](6700/39695), loss: 2.6308, logits_loss: 2.6308, aux_loss: 0.0000, lr: 0.00049214, epoch_time: 77.0min
Epoch:[1/2](6800/39695), loss: 2.5042, logits_loss: 2.5042, aux_loss: 0.0000, lr: 0.00049190, epoch_time: 77.0min
Epoch:[1/2](6900/39695), loss: 2.5305, logits_loss: 2.5305, aux_loss: 0.0000, lr: 0.00049166, epoch_time: 76.0min
Epoch:[1/2](7000/39695), loss: 2.7208, logits_loss: 2.7208, aux_loss: 0.0000, lr: 0.00049142, epoch_time: 76.0min
Epoch:[1/2](7100/39695), loss: 2.5344, logits_loss: 2.5344, aux_loss: 0.0000, lr: 0.00049118, epoch_time: 76.0min
Epoch:[1/2](7200/39695), loss: 2.5102, logits_loss: 2.5102, aux_loss: 0.0000, lr: 0.00049093, epoch_time: 76.0min
Epoch:[1/2](7300/39695), loss: 2.5985, logits_loss: 2.5985, aux_loss: 0.0000, lr: 0.00049068, epoch_time: 75.0min
Epoch:[1/2](7400/39695), loss: 2.5885, logits_loss: 2.5885, aux_loss: 0.0000, lr: 0.00049042, epoch_time: 75.0min
Epoch:[1/2](7500/39695), loss: 2.6894, logits_loss: 2.6894, aux_loss: 0.0000, lr: 0.00049016, epoch_time: 75.0min
Epoch:[1/2](7600/39695), loss: 2.7085, logits_loss: 2.7085, aux_loss: 0.0000, lr: 0.00048990, epoch_time: 75.0min
Epoch:[1/2](7700/39695), loss: 2.5649, logits_loss: 2.5649, aux_loss: 0.0000, lr: 0.00048964, epoch_time: 74.0min
Epoch:[1/2](7800/39695), loss: 2.7047, logits_loss: 2.7047, aux_loss: 0.0000, lr: 0.00048937, epoch_time: 74.0min
Epoch:[1/2](7900/39695), loss: 2.7217, logits_loss: 2.7217, aux_loss: 0.0000, lr: 0.00048909, epoch_time: 74.0min
